bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),23:35,7h,06:35,13 Seats,4.6,₹438
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:02,6h 35m,04:37,17 Seats,4.5,₹437
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:00,6h 30m,04:30,16 Seats,3.7,₹414
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:45,6h 35m,06:20,25 Seats,4.5,₹301
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:00,6h 30m,04:30,16 Seats,3.7,₹414
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,zingbus plus,A/C Seater / Sleeper (2+1),23:10,7h,06:10,9 Seats,4.2,₹370
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,zingbus plus,A/C Sleeper (2+1),23:55,7h 5m,07:00,3 Seats,4.1,₹515
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),22:55,6h 40m,05:35,15 Seats,4.7,₹447
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:20,7h 15m,06:35,6 Seats,4.6,₹639
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:12,6h 25m,03:37,8 Seats,4.4,₹459
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai Dasari Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:50,6h 40m,05:30,8 Seats,3.0,₹550
